SHHADID,SPANEL,SSUID,SWAVE,PNUM,MONTHCODE,THTOTINC,unique_ID
11,2014,418199619,1,102,12,5486,418199619_102
11,2014,418199753,1,101,12,4054,418199753_101
11,2014,418199753,1,102,12,4054,418199753_102
11,2014,418199753,1,103,12,4054,418199753_103
11,2014,418199753,1,104,12,4054,418199753_104
11,2014,418199755,1,101,12,3383,418199755_101
11,2014,418199755,1,102,12,3383,418199755_102
11,2014,418199933,1,101,12,9027,418199933_101
11,2014,418199933,1,102,12,9027,418199933_102
11,2014,418199950,1,101,12,1959,418199950_101
11,2014,418199950,1,102,12,1959,418199950_102
11,2014,418199950,1,103,12,1959,418199950_103
11,2014,418199950,1,104,12,1959,418199950_104
11,2014,418209035,1,101,12,3270,418209035_101
11,2014,418209035,1,102,12,3270,418209035_102
11,2014,418209291,1,101,12,6368,418209291_101
11,2014,418209291,1,102,12,6368,418209291_102
11,2014,418209291,1,103,12,6368,418209291_103
11,2014,418209291,1,104,12,6368,418209291_104
11,2014,418209316,1,101,12,10120,418209316_101
11,2014,418209316,1,102,12,10120,418209316_102
11,2014,418209316,1,103,12,10120,418209316_103
11,2014,418209316,1,104,12,10120,418209316_104
11,2014,418209316,1,105,12,10120,418209316_105
11,2014,418209316,1,106,12,10120,418209316_106
11,2014,418209316,1,107,12,10120,418209316_107
11,2014,418209373,1,101,12,7762,418209373_101
11,2014,418209373,1,102,12,7762,418209373_102
11,2014,418209373,1,103,12,7762,418209373_103
11,2014,418209852,1,101,12,9454,418209852_101
11,2014,418209852,1,102,12,9454,418209852_102
11,2014,418209852,1,103,12,9454,418209852_103
11,2014,418209852,1,104,12,9454,418209852_104
11,2014,418209852,1,105,12,9454,418209852_105
11,2014,418209903,1,101,12,3792,418209903_101
11,2014,418209905,1,101,12,1195,418209905_101
11,2014,418209905,1,102,12,1195,418209905_102
11,2014,418215291,1,101,12,2130,418215291_101
11,2014,418215316,1,101,12,3159,418215316_101
11,2014,418215316,1,102,12,3159,418215316_102
11,2014,418215316,1,103,12,3159,418215316_103
11,2014,418215316,1,104,12,3159,418215316_104
11,2014,418215449,1,101,12,6504,418215449_101
11,2014,418215449,1,102,12,6504,418215449_102
11,2014,418215449,1,103,12,6504,418215449_103
11,2014,418215449,1,104,12,6504,418215449_104
11,2014,418215449,1,105,12,6504,418215449_105
11,2014,418215449,1,106,12,6504,418215449_106
11,2014,418215852,1,101,12,3512,418215852_101
11,2014,418215852,1,102,12,3512,418215852_102
11,2014,418215946,1,101,12,1537,418215946_101
11,2014,418228197,1,101,12,3411,418228197_101
11,2014,418228207,1,101,12,4047,418228207_101
11,2014,418228259,1,101,12,1274,418228259_101
11,2014,418228259,1,102,12,1274,418228259_102
11,2014,418228660,1,101,12,3820,418228660_101
11,2014,418228660,1,102,12,3820,418228660_102
11,2014,418228831,1,101,12,3790,418228831_101
11,2014,418228831,1,102,12,3848,418228831_102
11,2014,418228831,1,103,12,3848,418228831_103
11,2014,418276060,1,101,12,2042,418276060_101
11,2014,418276060,1,102,12,2042,418276060_102
11,2014,418276060,1,103,12,2042,418276060_103
11,2014,418276060,1,104,12,2042,418276060_104
11,2014,418276630,1,101,12,1,418276630_101
11,2014,418276944,1,101,12,3081,418276944_101
11,2014,418276944,1,102,12,3081,418276944_102
11,2014,418285549,1,101,12,4317,418285549_101
11,2014,418285549,1,102,12,4317,418285549_102
11,2014,418285549,1,103,12,4317,418285549_103
11,2014,418285549,1,104,12,4317,418285549_104
11,2014,418285844,1,101,12,5083,418285844_101
11,2014,418285844,1,102,12,5083,418285844_102
11,2014,418285994,1,101,12,39686,418285994_101
11,2014,418285994,1,102,12,39686,418285994_102
11,2014,418285994,1,103,12,39686,418285994_103
11,2014,418285994,1,104,12,39686,418285994_104
11,2014,418294086,1,101,12,11250,418294086_101
11,2014,418294086,1,102,12,11250,418294086_102
11,2014,418294283,1,101,12,6395,418294283_101
11,2014,418294283,1,102,12,6395,418294283_102
11,2014,418294283,1,103,12,6395,418294283_103
11,2014,418294283,1,104,12,6395,418294283_104
11,2014,418294316,1,101,12,2517,418294316_101
11,2014,418294852,1,101,12,1700,418294852_101
11,2014,418294852,1,102,12,1700,418294852_102
11,2014,418294946,1,101,12,1977,418294946_101
11,2014,418303086,1,101,12,3586,418303086_101
11,2014,418303086,1,102,12,3586,418303086_102
11,2014,418303086,1,103,12,3586,418303086_103
11,2014,418303283,1,101,12,0,418303283_101
11,2014,418303316,1,101,12,3501,418303316_101
11,2014,418303449,1,101,12,4701,418303449_101
11,2014,418303449,1,102,12,4701,418303449_102
11,2014,418303449,1,103,12,4701,418303449_103
11,2014,418303905,1,101,12,9488,418303905_101
11,2014,418303905,1,102,12,9488,418303905_102
11,2014,418303905,1,103,12,9488,418303905_103
11,2014,418303905,1,104,12,9488,418303905_104
11,2014,418334060,1,101,12,7721,418334060_101
11,2014,418334060,1,102,12,7721,418334060_102
11,2014,418334197,1,101,12,0,418334197_101
11,2014,418334197,1,102,12,0,418334197_102
11,2014,418334259,1,101,12,24783,418334259_101
11,2014,418334259,1,102,12,24783,418334259_102
11,2014,418334259,1,103,12,24783,418334259_103
11,2014,418334596,1,101,12,3659,418334596_101
11,2014,418334944,1,101,12,1800,418334944_101
11,2014,418334944,1,102,12,1800,418334944_102
11,2014,418334944,1,103,12,1800,418334944_103
11,2014,418342067,1,101,12,2778,418342067_101
