SHHADID,SPANEL,SSUID,SWAVE,PNUM,MONTHCODE,THTOTINC,unique_ID_2
11,2014,114285070,2,101,12,7850,000114285070_101
11,2014,114285134,2,101,12,9935,000114285134_101
11,2014,114285134,2,102,12,9935,000114285134_102
11,2014,114285134,2,103,12,9935,000114285134_103
11,2014,114285134,2,104,12,9935,000114285134_104
11,2014,114285134,2,105,12,9935,000114285134_105
11,2014,114285343,2,101,12,11414,000114285343_101
11,2014,114285343,2,102,12,11414,000114285343_102
21,2014,114285765,2,101,12,2032,000114285765_101
21,2014,114285765,2,102,12,2032,000114285765_102
11,2014,114552134,2,101,12,733,000114552134_101
11,2014,114552134,2,102,12,733,000114552134_102
11,2014,114552134,2,103,12,733,000114552134_103
11,2014,114552369,2,101,12,2728,000114552369_101
11,2014,114552369,2,102,12,2728,000114552369_102
11,2014,114552765,2,101,12,2877,000114552765_101
11,2014,114816023,2,101,12,1149,000114816023_101
11,2014,114816253,2,101,12,5522,000114816253_101
11,2014,114816253,2,102,12,5522,000114816253_102
11,2014,114816465,2,101,12,2363,000114816465_101
11,2014,114816765,2,101,12,826,000114816765_101
21,2014,128892294,2,101,12,1588,000128892294_101
21,2014,133450932,2,101,12,1356,000133450932_101
11,2014,399892932,2,101,12,1804,000399892932_101
11,2014,399892932,2,103,12,1804,000399892932_103
22,2014,399892932,2,104,12,89,000399892932_104
11,2014,399892932,2,201,12,1804,000399892932_201
11,2014,399892932,2,202,12,1804,000399892932_202
11,2014,418037420,2,101,12,3809,000418037420_101
11,2014,418037420,2,103,12,3809,000418037420_103
11,2014,418049023,2,101,12,2000,000418049023_101
11,2014,418049023,2,102,12,2000,000418049023_102
11,2014,418049746,2,101,12,5342,000418049746_101
11,2014,418049746,2,102,12,5342,000418049746_102
11,2014,418049765,2,101,12,42,000418049765_101
11,2014,418057553,2,101,12,5548,000418057553_101
11,2014,418086233,2,101,12,2726,000418086233_101
11,2014,418086360,2,101,12,14006,000418086360_101
11,2014,418086360,2,103,12,14006,000418086360_103
11,2014,418086360,2,104,12,14006,000418086360_104
21,2014,418086753,2,101,12,655,000418086753_101
11,2014,418086894,2,101,12,5781,000418086894_101
11,2014,418086894,2,102,12,5781,000418086894_102
11,2014,418086894,2,103,12,5781,000418086894_103
11,2014,418086894,2,104,12,5781,000418086894_104
11,2014,418086894,2,105,12,5781,000418086894_105
11,2014,418086933,2,101,12,4812,000418086933_101
21,2014,418092207,2,101,12,12983,000418092207_101
21,2014,418092660,2,101,12,721,000418092660_101
11,2014,418114194,2,101,12,607,000418114194_101
11,2014,418114194,2,102,12,607,000418114194_102
11,2014,418114194,2,103,12,607,000418114194_103
11,2014,418114194,2,104,12,607,000418114194_104
11,2014,418114194,2,105,12,607,000418114194_105
11,2014,418114194,2,106,12,607,000418114194_106
11,2014,418114194,2,107,12,607,000418114194_107
11,2014,418114602,2,101,12,-51,000418114602_101
11,2014,418114602,2,102,12,-51,000418114602_102
11,2014,418114602,2,103,12,-51,000418114602_103
11,2014,418172023,2,101,12,11672,000418172023_101
11,2014,418172023,2,102,12,11672,000418172023_102
11,2014,418172253,2,101,12,4185,000418172253_101
11,2014,418172253,2,102,12,4185,000418172253_102
11,2014,418172516,2,101,12,4518,000418172516_101
11,2014,418172516,2,102,12,4518,000418172516_102
11,2014,418172516,2,103,12,4518,000418172516_103
11,2014,418172676,2,101,12,7143,000418172676_101
11,2014,418172676,2,102,12,7143,000418172676_102
11,2014,418172676,2,103,12,7143,000418172676_103
21,2014,418172689,2,101,12,7886,000418172689_101
21,2014,418172689,2,102,12,7886,000418172689_102
21,2014,418172689,2,201,12,7886,000418172689_201
11,2014,418172737,2,101,12,1551,000418172737_101
11,2014,418172737,2,102,12,1551,000418172737_102
11,2014,418172737,2,103,12,1551,000418172737_103
11,2014,418185029,2,101,12,10049,000418185029_101
11,2014,418185029,2,102,12,10049,000418185029_102
11,2014,418185142,2,101,12,3100,000418185142_101
11,2014,418185142,2,102,12,3100,000418185142_102
11,2014,418185142,2,103,12,3100,000418185142_103
11,2014,418185142,2,104,12,3100,000418185142_104
11,2014,418185142,2,105,12,3100,000418185142_105
11,2014,418185482,2,101,12,7992,000418185482_101
11,2014,418185482,2,102,12,7992,000418185482_102
11,2014,418185482,2,103,12,7992,000418185482_103
11,2014,418185773,2,101,12,1145,000418185773_101
11,2014,418199173,2,101,12,2360,000418199173_101
11,2014,418199360,2,101,12,1602,000418199360_101
11,2014,418199619,2,101,12,11571,000418199619_101
11,2014,418199619,2,102,12,11571,000418199619_102
11,2014,418199753,2,101,12,13610,000418199753_101
11,2014,418199753,2,102,12,13610,000418199753_102
11,2014,418199753,2,103,12,13610,000418199753_103
11,2014,418199753,2,104,12,13610,000418199753_104
11,2014,418199755,2,101,12,3541,000418199755_101
11,2014,418199755,2,102,12,3541,000418199755_102
11,2014,418199950,2,101,12,4749,000418199950_101
11,2014,418199950,2,102,12,4749,000418199950_102
11,2014,418199950,2,103,12,4749,000418199950_103
11,2014,418199950,2,104,12,4749,000418199950_104
11,2014,418209035,2,101,12,8095,000418209035_101
11,2014,418209035,2,102,12,8095,000418209035_102
11,2014,418209316,2,101,12,4723,000418209316_101
11,2014,418209316,2,102,12,4723,000418209316_102
11,2014,418209316,2,201,12,4723,000418209316_201
11,2014,418209316,2,202,12,4723,000418209316_202
11,2014,418209316,2,203,12,4723,000418209316_203
11,2014,418209373,2,101,12,9102,000418209373_101
11,2014,418209373,2,102,12,9102,000418209373_102
11,2014,418209373,2,103,12,9102,000418209373_103
11,2014,418209852,2,101,12,13247,000418209852_101
11,2014,418209852,2,102,12,13247,000418209852_102
11,2014,418209852,2,103,12,13247,000418209852_103
11,2014,418209852,2,104,12,13247,000418209852_104
11,2014,418209852,2,105,12,13247,000418209852_105
11,2014,418209903,2,101,12,3838,000418209903_101
11,2014,418209903,2,201,12,3838,000418209903_201
11,2014,418209903,2,202,12,3838,000418209903_202
11,2014,418209903,2,203,12,3838,000418209903_203
11,2014,418209905,2,101,12,2220,000418209905_101
11,2014,418209905,2,102,12,2220,000418209905_102
11,2014,418215316,2,101,12,1373,000418215316_101
11,2014,418215316,2,102,12,1373,000418215316_102
11,2014,418215316,2,103,12,1373,000418215316_103
11,2014,418215316,2,104,12,1373,000418215316_104
11,2014,418215449,2,101,12,6082,000418215449_101
11,2014,418215449,2,102,12,6082,000418215449_102
11,2014,418215449,2,103,12,6082,000418215449_103
11,2014,418215852,2,101,12,3509,000418215852_101
11,2014,418215852,2,102,12,3509,000418215852_102
11,2014,418215946,2,101,12,2192,000418215946_101
11,2014,418228197,2,101,12,3560,000418228197_101
11,2014,418228207,2,101,12,3838,000418228207_101
11,2014,418228259,2,101,12,268,000418228259_101
11,2014,418228259,2,102,12,268,000418228259_102
11,2014,418228660,2,101,12,3657,000418228660_101
11,2014,418228660,2,102,12,3657,000418228660_102
11,2014,418228831,2,101,12,8643,000418228831_101
11,2014,418228831,2,102,12,8643,000418228831_102
11,2014,418228831,2,103,12,8643,000418228831_103
11,2014,418276060,2,101,12,1354,000418276060_101
21,2014,418276060,2,102,12,1002,000418276060_102
11,2014,418276060,2,103,12,1354,000418276060_103
11,2014,418276060,2,104,12,1354,000418276060_104
21,2014,418276060,2,201,12,1002,000418276060_201
21,2014,418276060,2,202,12,1002,000418276060_202
11,2014,418276630,2,101,12,840,000418276630_101
11,2014,418276944,2,101,12,3876,000418276944_101
11,2014,418276944,2,102,12,3876,000418276944_102
11,2014,418276944,2,201,12,3876,000418276944_201
11,2014,418294283,2,101,12,5156,000418294283_101
11,2014,418294283,2,102,12,5156,000418294283_102
