SHHADID,SPANEL,SSUID,SWAVE,PNUM,MONTHCODE,THTOTINC,unique_ID_2
11,2014,114285070,4,101,12,5533,114285070_101
11,2014,114285134,4,101,12,6708,114285134_101
11,2014,114285134,4,102,12,6708,114285134_102
11,2014,114285134,4,103,12,6708,114285134_103
11,2014,114285134,4,105,12,6708,114285134_105
11,2014,114285343,4,101,12,9387,114285343_101
11,2014,114285343,4,102,12,9387,114285343_102
41,2014,114552343,4,101,12,0,114552343_101
41,2014,114552343,4,102,12,0,114552343_102
41,2014,114552343,4,103,12,0,114552343_103
41,2014,114552343,4,104,12,0,114552343_104
41,2014,114552343,4,105,12,0,114552343_105
41,2014,114552343,4,106,12,0,114552343_106
41,2014,114552343,4,401,12,0,114552343_401
11,2014,114552369,4,101,12,6738,114552369_101
11,2014,114552369,4,102,12,6738,114552369_102
11,2014,114552369,4,201,12,6738,114552369_201
11,2014,114552369,4,401,12,6738,114552369_401
11,2014,114552765,4,101,12,2726,114552765_101
11,2014,114816023,4,101,12,2455,114816023_101
11,2014,114816253,4,101,12,2976,114816253_101
31,2014,114816253,4,102,12,6838,114816253_102
31,2014,114816253,4,301,12,6838,114816253_301
11,2014,114816465,4,101,12,2969,114816465_101
11,2014,114816765,4,101,12,837,114816765_101
21,2014,128892294,4,101,12,2488,128892294_101
21,2014,128892294,4,301,12,2488,128892294_301
31,2014,133450932,4,101,12,1639,133450932_101
41,2014,379450932,4,101,12,26,379450932_101
42,2014,399892932,4,103,12,8483,399892932_103
22,2014,399892932,4,104,12,9943,399892932_104
22,2014,399892932,4,301,12,9943,399892932_301
22,2014,399892932,4,302,12,9943,399892932_302
22,2014,399892932,4,303,12,9943,399892932_303
42,2014,399892932,4,401,12,8483,399892932_401
11,2014,418037420,4,101,12,3407,418037420_101
41,2014,418037420,4,103,12,0,418037420_103
31,2014,418049765,4,101,12,886,418049765_101
31,2014,418049770,4,101,12,5669,418049770_101
32,2014,418049770,4,102,12,17009,418049770_102
32,2014,418049770,4,103,12,17009,418049770_103
32,2014,418049770,4,301,12,17009,418049770_301
32,2014,418049770,4,302,12,17009,418049770_302
32,2014,418049770,4,303,12,17009,418049770_303
11,2014,418057553,4,101,12,7250,418057553_101
31,2014,418086753,4,101,12,1968,418086753_101
31,2014,418092660,4,101,12,681,418092660_101
11,2014,418114602,4,101,12,4030,418114602_101
11,2014,418114602,4,102,12,4030,418114602_102
11,2014,418114602,4,103,12,4030,418114602_103
11,2014,418172023,4,101,12,9349,418172023_101
11,2014,418172023,4,102,12,9349,418172023_102
11,2014,418172253,4,101,12,6159,418172253_101
11,2014,418172253,4,102,12,6159,418172253_102
11,2014,418172737,4,101,12,1368,418172737_101
11,2014,418172737,4,102,12,1368,418172737_102
11,2014,418172737,4,103,12,1368,418172737_103
41,2014,418185029,4,101,12,11130,418185029_101
41,2014,418185029,4,102,12,11130,418185029_102
11,2014,418185142,4,101,12,3598,418185142_101
11,2014,418185142,4,102,12,3598,418185142_102
11,2014,418185142,4,103,12,3598,418185142_103
11,2014,418185142,4,104,12,3598,418185142_104
11,2014,418185142,4,105,12,3598,418185142_105
11,2014,418199173,4,101,12,2370,418199173_101
11,2014,418199360,4,101,12,2342,418199360_101
11,2014,418199755,4,101,12,2328,418199755_101
11,2014,418199755,4,102,12,2328,418199755_102
11,2014,418209035,4,101,12,8805,418209035_101
11,2014,418209035,4,102,12,8805,418209035_102
11,2014,418209316,4,101,12,2960,418209316_101
11,2014,418209316,4,102,12,2960,418209316_102
11,2014,418209316,4,103,12,2960,418209316_103
11,2014,418209316,4,104,12,2960,418209316_104
11,2014,418209316,4,105,12,2960,418209316_105
11,2014,418209316,4,106,12,2960,418209316_106
11,2014,418209316,4,401,12,2960,418209316_401
11,2014,418209373,4,101,12,11498,418209373_101
11,2014,418209373,4,102,12,11498,418209373_102
11,2014,418209903,4,101,12,14206,418209903_101
11,2014,418209903,4,201,12,14206,418209903_201
11,2014,418209903,4,202,12,14206,418209903_202
11,2014,418209903,4,203,12,14206,418209903_203
11,2014,418209905,4,101,12,1475,418209905_101
11,2014,418209905,4,102,12,1475,418209905_102
11,2014,418215291,4,101,12,3151,418215291_101
11,2014,418215316,4,101,12,5180,418215316_101
11,2014,418215316,4,102,12,5180,418215316_102
11,2014,418215316,4,103,12,5180,418215316_103
11,2014,418215316,4,104,12,5180,418215316_104
11,2014,418215449,4,101,12,8811,418215449_101
11,2014,418215449,4,102,12,8811,418215449_102
11,2014,418215449,4,103,12,8811,418215449_103
21,2014,418215449,4,104,12,4829,418215449_104
21,2014,418215449,4,105,12,4829,418215449_105
21,2014,418215449,4,106,12,4829,418215449_106
21,2014,418215449,4,401,12,4829,418215449_401
11,2014,418228197,4,101,12,3662,418228197_101
11,2014,418228207,4,101,12,3168,418228207_101
11,2014,418228660,4,101,12,5971,418228660_101
11,2014,418228660,4,102,12,5971,418228660_102
11,2014,418228831,4,101,12,8510,418228831_101
11,2014,418228831,4,102,12,8510,418228831_102
11,2014,418228831,4,103,12,8510,418228831_103
11,2014,418228831,4,301,12,8510,418228831_301
11,2014,418228831,4,302,12,8510,418228831_302
41,2014,418276060,4,101,12,1637,418276060_101
41,2014,418276060,4,103,12,1637,418276060_103
41,2014,418276060,4,104,12,1637,418276060_104
11,2014,418276630,4,101,12,1021,418276630_101
11,2014,418276944,4,101,12,2320,418276944_101
11,2014,418276944,4,102,12,2320,418276944_102
11,2014,418285549,4,101,12,7913,418285549_101
11,2014,418285549,4,401,12,7913,418285549_401
41,2014,418294086,4,101,12,11712,418294086_101
41,2014,418294086,4,102,12,11712,418294086_102
